Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
404,Kevin Porter Jr.\porteke02,SG,20,HOU,25,22,32.5,6,14.2,0.424,1.9,6.2,0.308,4.1,7.9,0.515,0.492,2.7,3.6,0.744,0.8,3.1,3.9,6.4,0.8,0.3,3.6,2.4,16.6
405,Michael Porter Jr.\portemi01,SF,22,DEN,55,48,31.7,7.2,13.3,0.542,2.7,6.1,0.44,4.5,7.2,0.628,0.643,1.8,2.3,0.776,1.6,6,7.5,1.1,0.6,1,1.2,2.1,18.9
406,Otto Porter\porteot01,SF-PF,27,TOT,28,6,21.6,3.5,8.1,0.432,1.4,3.7,0.375,2.1,4.4,0.48,0.518,1.3,1.5,0.857,1,4.4,5.4,2,0.6,0.1,0.9,1.5,9.7
406,Otto Porter\porteot01,SF,27,CHI,25,6,21.6,3.6,8.1,0.441,1.5,3.8,0.4,2,4.3,0.477,0.535,1.2,1.5,0.838,1.1,4.4,5.5,2,0.5,0.2,1,1.5,9.9
406,Otto Porter\porteot01,PF,27,ORL,3,0,22,3,8.3,0.36,0.3,3,0.111,2.7,5.3,0.5,0.38,1.7,1.7,1,0,4.7,4.7,1.7,1.3,0,0,1.3,8
407,Bobby Portis\portibo01,C,25,MIL,60,7,21.1,4.7,9,0.526,1.1,2.4,0.472,3.6,6.6,0.546,0.589,0.8,1,0.742,1.8,5.3,7.1,1.1,0.8,0.4,0.9,1.8,11.3
408,Kristaps Porziņģis\porzikr01,C,25,DAL,40,40,31.1,7.6,16,0.473,2.2,6.1,0.362,5.4,9.9,0.542,0.542,2.8,3.3,0.85,1.9,7.1,9.1,1.6,0.5,1.4,1.3,2.7,20.2
409,Dwight Powell\poweldw01,C,29,DAL,51,16,15.6,1.9,3.3,0.59,0.1,0.4,0.238,1.8,2.8,0.641,0.605,1.6,2.1,0.766,1.3,2.4,3.7,0.8,0.6,0.4,0.6,2.2,5.5
410,Norman Powell\powelno01,SG-SF,27,TOT,63,52,31.6,6.4,13.3,0.482,2.5,6.1,0.411,3.9,7.3,0.54,0.575,3.4,3.9,0.866,0.6,2.4,3,1.9,1.2,0.3,1.7,2.3,18.7
410,Norman Powell\powelno01,SG,27,TOR,42,31,30.4,6.7,13.5,0.498,2.8,6.4,0.439,3.9,7.1,0.552,0.602,3.4,3.9,0.865,0.5,2.5,3,1.8,1.1,0.2,1.8,2.3,19.6
410,Norman Powell\powelno01,SF,27,POR,21,21,33.9,5.9,13.1,0.447,1.9,5.4,0.345,4,7.7,0.519,0.518,3.4,4,0.867,1,2,3,2,1.4,0.4,1.6,2.3,17
411,Taurean Prince\princta02,PF,26,TOT,41,10,22.1,3.2,8,0.401,1.5,3.8,0.4,1.7,4.2,0.401,0.495,1.6,1.9,0.855,0.5,3,3.5,1.9,0.7,0.6,1.1,1.8,9.5
411,Taurean Prince\princta02,PF,26,BRK,12,4,18.2,2.5,6.2,0.405,1.1,3.1,0.351,1.4,3.1,0.459,0.493,2,2.3,0.889,0.2,2.7,2.8,0.6,0.7,0.7,0.9,1.8,8.1
411,Taurean Prince\princta02,PF,26,CLE,29,6,23.7,3.5,8.7,0.399,1.7,4.1,0.415,1.8,4.7,0.385,0.496,1.4,1.7,0.837,0.6,3.1,3.7,2.4,0.7,0.5,1.2,1.9,10.1
412,Payton Pritchard\pritcpa01,SG,23,BOS,59,2,19.4,2.8,6.2,0.452,1.5,3.6,0.417,1.3,2.6,0.5,0.573,0.7,0.7,0.907,0.5,1.8,2.3,1.8,0.5,0.2,0.9,1.6,7.7
413,Immanuel Quickley\quickim01,PG,21,NYK,60,3,19.5,3.7,9.2,0.398,1.9,4.8,0.394,1.8,4.4,0.402,0.5,2.4,2.7,0.895,0.4,1.8,2.2,2.1,0.5,0.2,0.9,1.8,11.6
414,Jahmi'us Ramsey\ramseja01,SG,19,SAC,8,0,3.6,0.8,1.5,0.5,0.3,0.9,0.286,0.5,0.6,0.8,0.583,0,0,,0.1,0.5,0.6,0.4,0.1,0.1,0.1,0.1,1.8
415,Chasson Randle\randlch01,PG,27,ORL,34,5,19.6,2.1,5.4,0.388,1.1,3,0.366,1,2.4,0.415,0.489,0.8,1,0.765,0.1,1.7,1.9,1.9,0.5,0.1,1.1,1.5,6
416,Julius Randle\randlju01,PF,26,NYK,64,64,37.4,8.5,18.5,0.463,2.3,5.4,0.427,6.2,13,0.478,0.525,4.8,6,0.811,1.2,9,10.3,5.9,1,0.3,3.4,3.1,24.2
417,Cam Reddish\reddica01,SF,21,ATL,26,21,28.8,3.7,10.1,0.365,1.3,4.8,0.262,2.4,5.3,0.46,0.428,2.6,3.2,0.817,0.8,3.2,4,1.3,1.3,0.3,1.3,2.6,11.2
418,J.J. Redick\redicjj01,SG,36,TOT,42,0,16.9,2.5,6.2,0.4,1.5,4.1,0.372,1,2.1,0.455,0.523,1.2,1.2,0.942,0.1,1.4,1.5,1.2,0.3,0.1,0.8,1.1,7.6
418,J.J. Redick\redicjj01,SG,36,NOP,31,0,18.6,2.8,6.9,0.407,1.6,4.5,0.364,1.2,2.4,0.486,0.526,1.5,1.5,0.957,0.1,1.6,1.7,1.3,0.3,0.1,0.8,1.2,8.7
418,J.J. Redick\redicjj01,SG,36,DAL,11,0,12.1,1.5,4.2,0.37,1.2,2.9,0.406,0.4,1.3,0.286,0.511,0.4,0.5,0.8,0.1,1,1.1,0.9,0.2,0.1,0.8,0.9,4.6
419,Paul Reed\reedpa01,PF,21,PHI,21,0,6.5,1.4,2.7,0.536,0,0.3,0,1.4,2.4,0.6,0.536,0,0.2,0.25,1,1.1,2,0.3,0.3,0.6,0.5,1,2.9
420,Naz Reid\reidna01,C,21,MIN,63,15,19.2,4.3,8.2,0.52,0.9,2.4,0.357,3.4,5.8,0.589,0.573,1.7,2.4,0.706,1.1,3.4,4.5,1,0.5,1.1,1,2.5,11.2
421,Cameron Reynolds\reynoca01,SF,25,SAS,3,0,2,0.3,0.7,0.5,0,0,,0.3,0.7,0.5,0.5,0,0,,0,0,0,0,0,0,0,0,0.7
422,Nick Richards\richani01,PF,23,CHO,17,0,3.6,0.2,0.5,0.5,0,0.1,0,0.2,0.4,0.571,0.5,0.4,0.6,0.636,0.1,0.4,0.5,0.1,0,0,0.2,0.4,0.9
423,Josh Richardson\richajo01,SG,27,DAL,52,52,31.3,4.4,10.5,0.424,1.5,4.7,0.322,2.9,5.8,0.507,0.496,1.8,2,0.912,0.8,2.6,3.4,2.7,0.9,0.4,1.4,2.3,12.2
424,Grant Riller\rillegr01,PG,23,CHO,5,0,4.2,1.2,1.8,0.667,0.4,0.8,0.5,0.8,1,0.8,0.778,0,0,,0,0,0,0.6,0.2,0,0.2,0,2.8
425,Austin Rivers\riverau01,SG,28,TOT,29,2,22.3,2.6,6.3,0.404,1.2,3.7,0.318,1.4,2.6,0.526,0.497,0.5,0.7,0.714,0.2,2,2.2,2.2,0.7,0.1,0.9,1.6,6.8
425,Austin Rivers\riverau01,SG,28,NYK,21,2,21,2.8,6.4,0.43,1.3,3.7,0.364,1.4,2.8,0.517,0.533,0.5,0.7,0.714,0.2,2,2.2,2,0.6,0,1,1.5,7.3
425,Austin Rivers\riverau01,SG,28,DEN,8,0,25.8,2,6,0.333,0.8,3.8,0.2,1.3,2.3,0.556,0.396,0.6,0.9,0.714,0.1,1.9,2,2.8,1.1,0.3,0.5,1.9,5.4
426,Andre Roberson\roberan03,SG,29,BRK,5,0,12.6,0.4,2.8,0.143,0.2,1.6,0.125,0.2,1.2,0.167,0.179,0.2,0.4,0.5,1.4,1.6,3,0.8,0.6,0.2,0.4,0.8,1.2
427,Duncan Robinson\robindu01,SF,26,MIA,66,66,31.8,4.4,10,0.437,3.5,8.6,0.404,0.9,1.5,0.635,0.61,0.8,1,0.821,0.1,3.5,3.6,1.8,0.6,0.2,1.1,2.5,13.1
428,Glenn Robinson III\robingl02,SF,27,SAC,23,2,16,1.8,4.3,0.424,0.7,1.9,0.364,1.1,2.4,0.473,0.505,0.9,1,0.913,0.5,1.5,2,0.9,0.2,0.1,0.5,1,5.3
429,Jerome Robinson\robinje01,SG,23,WAS,17,6,17.9,1.6,5.6,0.295,0.6,2.5,0.262,1,3.1,0.321,0.353,0.9,1.2,0.8,0.2,2,2.2,1.5,0.7,0.4,1.1,1.8,4.9
430,Justin Robinson\robinju01,PG,23,OKC,9,0,9.8,0.8,2.3,0.333,0.4,1.6,0.286,0.3,0.8,0.429,0.429,0.3,0.6,0.6,0.1,0.7,0.8,1,0.3,0,0.2,1.1,2.3
431,Mitchell Robinson\robinmi01,C,22,NYK,31,29,27.5,3.7,5.7,0.653,0,0,,3.7,5.7,0.653,0.653,0.8,1.7,0.491,3.6,4.5,8.1,0.5,1.1,1.5,0.8,2.8,8.3
432,Isaiah Roby\robyis01,PF,22,OKC,55,28,23.5,3.5,7.1,0.486,0.6,1.8,0.313,2.9,5.3,0.545,0.526,1.5,2,0.75,1.6,4.2,5.8,1.9,0.9,0.6,1.9,2.7,9
433,Rajon Rondo\rondora01,PG,34,TOT,40,2,16.7,2,4.7,0.426,0.7,2,0.359,1.3,2.8,0.473,0.5,0.3,0.3,0.909,0.4,2,2.3,4.1,0.9,0.1,1.7,1.3,5
433,Rajon Rondo\rondora01,PG,34,ATL,27,2,14.9,1.6,4.1,0.4,0.6,1.7,0.378,1,2.4,0.415,0.477,0,0.1,0.5,0.1,1.9,2,3.5,0.7,0.1,1.4,0.9,3.9
433,Rajon Rondo\rondora01,PG,34,LAC,13,0,20.3,2.8,6,0.462,0.8,2.5,0.333,1.9,3.5,0.556,0.532,0.7,0.7,1,0.8,2.1,2.8,5.3,1.2,0.2,2.1,1.9,7.1
434,Derrick Rose\rosede01,PG,32,TOT,44,3,25.1,5.5,12,0.46,1,2.6,0.377,4.6,9.5,0.483,0.501,2.2,2.6,0.852,0.4,2,2.4,4.1,1,0.4,1.5,1.1,14.3
434,Derrick Rose\rosede01,PG,32,DET,15,0,22.8,5.3,12.3,0.429,0.9,2.6,0.333,4.4,9.7,0.455,0.465,2.8,3.3,0.84,0.4,1.5,1.9,4.2,1.2,0.3,1.9,1.1,14.2
434,Derrick Rose\rosede01,PG,32,NYK,29,3,26.3,5.7,11.9,0.477,1,2.6,0.4,4.7,9.3,0.498,0.52,1.9,2.2,0.862,0.3,2.3,2.7,4.1,0.9,0.5,1.2,1.1,14.3
435,Terrence Ross\rosste01,SG,29,ORL,46,2,29.3,5.5,13.4,0.412,1.9,5.7,0.337,3.6,7.7,0.469,0.485,2.6,3,0.87,0.3,3.1,3.4,2.3,1,0.5,1.6,1.9,15.6
436,Terry Rozier\roziete01,SG,26,CHO,62,62,34.1,7.4,16.3,0.453,3.3,8.3,0.394,4.1,8,0.515,0.554,2.3,2.8,0.825,0.6,3.6,4.2,4.1,1.2,0.4,1.8,1.7,20.3
437,Ricky Rubio\rubiori01,PG,30,MIN,61,46,26.1,2.8,7.2,0.382,0.9,3,0.311,1.8,4.2,0.432,0.447,2,2.3,0.865,0.4,2.9,3.2,6.5,1.5,0,1.7,2.1,8.4
438,D'Angelo Russell\russeda01,PG,24,MIN,35,19,27.9,6.8,15.6,0.435,2.9,7.4,0.388,3.9,8.3,0.478,0.527,2.5,3.2,0.779,0.3,2.1,2.5,5.5,1,0.4,2.8,1.8,19
